precinct_name,majority
0591 ORANGEWOOD,dem
0490 MARIGOLD,other
0126 CHILTON,other
0277 FAIRWAY,other
0138 CLIFFVIEW,dem
0176 COUNTRY MEADOWS,other
0233 DOVE,other
0747 SHALIMAR,dem
0921 WINDMERE,other
0140 CLOVER,other
0665 PURPLE SAGE,other
0589 OPTIMIST,dem
0010 AIRLINE CANAL,other
0365 HESS,other
0240 DUBLIN,other
0320 GLENROSA,dem
0710 ROVEY,dem
0402 JASPER,other
0353 HARRIS,other
0709 ROTARY PARK,dem
0819 SUPAI,other
0098 CAMPBELL PARK,other
0596 OSUNA PARK,other
0299 GALVESTON,other
0341 GROVERS,other
0780 SPRINGFIELD,other
0416 KALER,other
0313 GILA,other
0206 DESERT BELL,other
0927 WOODGLEN,other
0011 ALAMO,other
0831 THOMAS,dem
0511 MESA LINDA,other
0613 PALOMINO,other
0865 VAN NESS,dem
0286 FOLLEY,other
0424 KOKOPELLI,other
0063 BLACK CANYON,other
0132 CITRUS,dem
0127 CHOLLA,other
0914 WILDFLOWER,other
0599 PAIUTE,other
0358 HATCHER,other
0822 SURREY,other
0226 DIABLO,dem
0862 VALENCIA,other
0896 WESTERN STAR,other
0378 HOLLIS,dem
0785 ST FRANCIS,other
0794 SUMMERSIDE,dem
0477 MADISON,dem
0486 MANZANITA,other
0500 MCAFEE PLACE,other
0695 RIVERVIEW,other
0254 EL DOMINGO,dem
0724 SAN MIGUEL,other
0548 NICOLET,other
0237 DREAMY DRAW,dem
0347 HALL,dem
0873 VILLA DE PAZ,other
0148 COLONNADE,dem
0820 SURPRISE,other
0087 BUTLER,other
0255 EL MIRAGE,other
0048 BALBOA,dem
0108 CARLA VISTA,other
0672 RANCHO,dem
0708 ROSE MOFFORD,other
0633 PEORIA HEIGHTS,other
0350 HARMONT,other
0817 SUNSET RIDGE,dem
0499 MAYFLOWER,dem
0189 CRYSTAL GARDENS,other
0470 LOS OLIVOS,dem
0081 BUCKLEY,other
0680 REED PARK,other
0722 SAN MARCOS,other
0308 GEORGIA,other
0251 ECHO,other
0041 AUGUSTA,dem
0485 MANISTEE,dem
0504 MCKELLIPS PARK,other
0245 DWIGHT,other
0493 MARLETTE,dem
0587 OLNEY,dem
0090 CAIRO,dem
